FID,gemeindeschluessel,strassenschluessel,strasse
strassennamen.fid--3213a59_187d53d4470_df2,5334002,1437,Jean-Lejeune-Straße
strassennamen.fid--3213a59_187d53d4470_df3,5334002,1439,Jesuitenstraße
strassennamen.fid--3213a59_187d53d4470_df4,5334002,1440,Johannes-von-den-Driesch-Weg
strassennamen.fid--3213a59_187d53d4470_df5,5334002,1441,Johanniterstraße
strassennamen.fid--3213a59_187d53d4470_df6,5334002,1442,Johannstraße
strassennamen.fid--3213a59_187d53d4470_df7,5334002,1444,Drei-Rosen-Straße
strassennamen.fid--3213a59_187d53d4470_df8,5334002,1445,Noppiusstraße
strassennamen.fid--3213a59_187d53d4470_df9,5334002,1447,Judengasse
strassennamen.fid--3213a59_187d53d4470_dfa,5334002,1449,Junkerstraße
strassennamen.fid--3213a59_187d53d4470_dfb,5334002,1450,Jupp-Müller-Straße
strassennamen.fid--3213a59_187d53d4470_dfc,5334002,1451,Juttastraße
strassennamen.fid--3213a59_187d53d4470_dfd,5334002,1453,Kaiser-Friedrich-Allee
strassennamen.fid--3213a59_187d53d4470_dfe,5334002,1455,Kaiserplatz
strassennamen.fid--3213a59_187d53d4470_dff,5334002,1456,Goerdelerstraße
strassennamen.fid--3213a59_187d53d4470_e00,5334002,1457,Kalverbenden
strassennamen.fid--3213a59_187d53d4470_e01,5334002,1458,Kamper Straße
strassennamen.fid--3213a59_187d53d4470_e02,5334002,1459,Kannegießerstraße
strassennamen.fid--3213a59_187d53d4470_e03,5334002,1460,Kantstraße
strassennamen.fid--3213a59_187d53d4470_e04,5334002,1461,Kapuzinergasse
strassennamen.fid--3213a59_187d53d4470_e05,5334002,1462,Kapellenstraße
strassennamen.fid--3213a59_187d53d4470_e06,5334002,1464,Kapitelstraße
strassennamen.fid--3213a59_187d53d4470_e07,5334002,1466,Kapuzinergraben
strassennamen.fid--3213a59_187d53d4470_e08,5334002,1468,Kardinalstraße
strassennamen.fid--3213a59_187d53d4470_e09,5334002,1470,Karl-Marx-Allee
strassennamen.fid--3213a59_187d53d4470_e0a,5334002,1471,Karlsburgweg
strassennamen.fid--3213a59_187d53d4470_e0b,5334002,1472,Karlsgraben
strassennamen.fid--3213a59_187d53d4470_e0c,5334002,1473,Karlshöher Hochweg
strassennamen.fid--3213a59_187d53d4470_e0d,5334002,1474,Karlshöher Talweg
strassennamen.fid--3213a59_187d53d4470_e0e,5334002,1475,Haßlerstraße
strassennamen.fid--3213a59_187d53d4470_e0f,5334002,1476,Karmeliterstraße
strassennamen.fid--3213a59_187d53d4470_e10,5334002,1478,Kasernenstraße
strassennamen.fid--3213a59_187d53d4470_e11,5334002,1483,Katschhof
